player,year,wins,losses
Alexandr Dolgopolov,2010,24,20
Alexandr Dolgopolov,2011,30,24
Alexandr Dolgopolov,2012,31,23
Alexandr Dolgopolov,2013,14,20
Alexandr Dolgopolov,2014,25,19
Alexandr Dolgopolov,2015,20,20
Alexandr Dolgopolov,2016,17,16
Alexandr Dolgopolov,2017,33,24
Alexandr Dolgopolov,2018,3,4
Alexandre Sidorenko,2007,1,4
Alexandre Sidorenko,2008,5,3
Alexandre Sidorenko,2009,5,6
Alexandre Sidorenko,2010,14,10
Alexandre Sidorenko,2011,2,1
Alexandre Sidorenko,2012,1,1
Alexandre Sidorenko,2013,1,1
Alexandre Sidorenko,2016,2,3
Alexei Popyrin,2018,3,5
Alexei Popyrin,2019,22,22
Aljaz Bedene,2010,1,1
Aljaz Bedene,2011,6,2
Aljaz Bedene,2012,14,10
Aljaz Bedene,2013,10,17
Aljaz Bedene,2014,13,10
Aljaz Bedene,2015,27,19
Aljaz Bedene,2016,9,14
Aljaz Bedene,2017,17,14
Aljaz Bedene,2018,15,19
Aljaz Bedene,2019,14,16
Amer Delic,2003,1,3
Amer Delic,2004,2,2
Amer Delic,2005,1,3
Amer Delic,2006,1,3
Amer Delic,2007,13,20
Amer Delic,2008,18,9
Amer Delic,2009,14,11
Amer Delic,2011,5,8
Amer Delic,2012,3,6
Amir Weintraub,2012,1,4
Amir Weintraub,2013,10,5
Amir Weintraub,2016,7,11
Andre Agassi,1998,15,4
Andre Agassi,1999,60,13
Andre Agassi,2000,28,12
Andre Agassi,2001,36,8
Andre Agassi,2002,27,7
Andre Agassi,2003,41,7
Andre Agassi,2004,25,8
Andre Agassi,2005,24,9
Andre Agassi,2006,6,4
Andre Ghem,2006,1,1
Andre Ghem,2007,1,4
Andre Ghem,2008,1,1
Andre Ghem,2011,3,1
Andre Ghem,2012,3,4
Andre Ghem,2013,6,4
Andre Ghem,2014,8,9
Andre Ghem,2015,7,7
Andre Ghem,2017,2,2
Andre Sa,1999,1,4
Andre Sa,2000,7,14
Andre Sa,2001,7,11
Andre Sa,2002,18,17
Andre Sa,2003,3,15
Andre Sa,2005,1,1
Andre Sa,2007,4,7
Andre Sa,2010,2,4
Andre Sa,2012,1,3
Andre Sa,2015,1,4
Andrea Arnaboldi,2008,2,2
Andrea Arnaboldi,2010,2,4
Andrea Arnaboldi,2013,2,1
Andrea Arnaboldi,2014,8,7
Andrea Arnaboldi,2015,13,8
Andrea Arnaboldi,2016,5,8
Andrea Arnaboldi,2017,2,3
Andrea Arnaboldi,2018,3,4
Andrea Arnaboldi,2019,2,5
Andrea Gaudenzi,1998,3,4
Andrea Gaudenzi,1999,12,12
Andrea Gaudenzi,2000,7,15
Andrea Gaudenzi,2001,9,13
Andrea Gaudenzi,2002,10,21
Andrea Gaudenzi,2003,3,5
Andreas Beck,2005,1,1
Andreas Beck,2007,3,2
Andreas Beck,2008,10,7
Andreas Beck,2009,16,14
Andreas Beck,2010,9,14
Andreas Beck,2011,6,6
Andreas Beck,2012,2,6
Andreas Beck,2013,8,4
Andreas Beck,2014,9,6
Andreas Beck,2015,5,8
Andreas Beck,2016,2,1
Andreas Haider-Maurer,2007,1,1
