player,year,wins,losses
Gustavo Kuerten,2002,17,8
Gustavo Kuerten,2003,27,14
Gustavo Kuerten,2004,18,9
Gustavo Kuerten,2005,3,7
Gustavo Kuerten,2007,2,7
Harel Levy,1999,1,1
Harel Levy,2000,12,15
Harel Levy,2001,12,13
Harel Levy,2002,1,8
Harel Levy,2003,1,4
Harel Levy,2004,5,9
Harel Levy,2007,10,7
Harel Levy,2008,8,7
Harel Levy,2009,5,3
Harel Levy,2010,6,9
Harel Levy,2011,1,1
Henri Laaksonen,2011,2,2
Henri Laaksonen,2012,4,4
Henri Laaksonen,2013,12,8
Henri Laaksonen,2014,9,12
Henri Laaksonen,2015,1,3
Henri Laaksonen,2016,6,5
Henri Laaksonen,2017,13,12
Henri Laaksonen,2018,3,7
Henri Laaksonen,2019,9,10
Hernan Gumy,1999,12,14
Hernan Gumy,2000,8,16
Hernan Gumy,2001,1,1
Hicham Arazi,1999,26,24
Hicham Arazi,2000,27,22
Hicham Arazi,2001,15,13
Hicham Arazi,2002,8,17
Hicham Arazi,2003,14,15
Hicham Arazi,2004,10,11
Hiroki Moriya,2010,1,3
Hiroki Moriya,2012,10,6
Hiroki Moriya,2013,2,5
Hiroki Moriya,2014,4,7
Hiroki Moriya,2015,9,7
Hiroki Moriya,2016,4,6
Hiroki Moriya,2017,3,7
Hiroki Moriya,2018,1,3
Horacio Zeballos,2007,1,4
Horacio Zeballos,2008,4,2
Horacio Zeballos,2009,13,10
Horacio Zeballos,2010,13,22
Horacio Zeballos,2011,6,8
Horacio Zeballos,2012,9,11
Horacio Zeballos,2013,13,21
Horacio Zeballos,2014,11,11
Horacio Zeballos,2015,8,9
Horacio Zeballos,2016,5,11
Horacio Zeballos,2017,18,19
Horacio Zeballos,2018,11,15
Hubert Hurkacz,2018,21,17
Hubert Hurkacz,2019,25,19
Hugo Armando,2001,4,6
Hugo Armando,2004,2,1
Hugo Armando,2005,1,5
Hugo Armando,2006,1,2
Hugo Armando,2007,12,8
Hugo Armando,2008,4,6
Hyeon Chung,2014,1,1
Hyeon Chung,2015,15,11
Hyeon Chung,2016,4,12
Hyeon Chung,2017,27,17
Hyeon Chung,2018,24,15
Hyeon Chung,2019,3,4
Hyung-Taik Lee,1999,1,2
Hyung-Taik Lee,2000,4,4
Hyung-Taik Lee,2001,7,13
Hyung-Taik Lee,2002,6,10
Hyung-Taik Lee,2003,17,19
Hyung-Taik Lee,2004,12,11
Hyung-Taik Lee,2005,10,15
Hyung-Taik Lee,2006,14,11
Hyung-Taik Lee,2007,19,20
Hyung-Taik Lee,2008,8,12
Igor Andreev,2003,4,4
Igor Andreev,2004,17,18
Igor Andreev,2005,27,23
Igor Andreev,2006,11,9
Igor Andreev,2007,28,24
Igor Andreev,2008,28,21
Igor Andreev,2009,20,22
Igor Andreev,2010,14,17
Igor Andreev,2011,20,24
Igor Andreev,2012,27,19
Igor Kunitsyn,2004,2,2
Igor Kunitsyn,2005,3,1
Igor Kunitsyn,2006,5,8
Igor Kunitsyn,2007,19,24
Igor Kunitsyn,2008,22,14
Igor Kunitsyn,2009,11,22
Igor Kunitsyn,2010,9,14
Igor Kunitsyn,2011,16,20
Igor Kunitsyn,2012,7,21
Igor Kunitsyn,2013,6,7
Igor Sijsling,2008,1,1
Igor Sijsling,2009,1,1
Igor Sijsling,2010,8,7
Igor Sijsling,2011,5,8
Igor Sijsling,2012,18,14
Igor Sijsling,2013,17,19
Igor Sijsling,2014,10,23
Igor Sijsling,2015,12,11
Igor Sijsling,2016,12,8
Ilija Bozoljac,2006,3,2
Ilija Bozoljac,2007,6,12
Ilija Bozoljac,2008,5,4
Ilija Bozoljac,2009,4,4
Ilija Bozoljac,2010,14,9
Ilija Bozoljac,2011,4,5
Ilija Bozoljac,2012,3,4
Ilija Bozoljac,2013,8,4
Ilija Bozoljac,2014,2,5
Ilija Bozoljac,2015,3,4
Illya Marchenko,2007,1,2
Illya Marchenko,2008,1,2
Illya Marchenko,2009,12,6
Illya Marchenko,2010,23,17
Illya Marchenko,2011,9,14
Illya Marchenko,2012,3,3
Illya Marchenko,2013,10,14
Illya Marchenko,2014,13,10
Illya Marchenko,2015,20,8
Illya Marchenko,2016,14,20
Illya Marchenko,2017,7,10
Ilya Ivashka,2016,3,2
Ilya Ivashka,2017,1,5
Ilya Ivashka,2018,27,20
Ilya Ivashka,2019,9,15
Inigo Cervantes,2009,1,2
Inigo Cervantes,2010,2,5
Inigo Cervantes,2011,2,4
Inigo Cervantes,2012,17,12
Inigo Cervantes,2014,6,8
Inigo Cervantes,2015,5,6
Inigo Cervantes,2016,12,24
Irakli Labadze,2001,5,6
Irakli Labadze,2002,8,16
Irakli Labadze,2003,4,12
Irakli Labadze,2004,9,13
Irakli Labadze,2005,4,10
Irakli Labadze,2008,1,2
Ivan Dodig,2007,2,2
Ivan Dodig,2008,5,4
Ivan Dodig,2009,8,7
Ivan Dodig,2010,22,13
Ivan Dodig,2011,23,18
Ivan Dodig,2012,9,20
Ivan Dodig,2013,25,19
Ivan Dodig,2014,15,19
Ivan Dodig,2015,14,16
Ivan Dodig,2016,12,18
Ivan Dodig,2017,5,7
Ivan Ljubicic,1999,11,12
Ivan Ljubicic,2000,17,18
Ivan Ljubicic,2001,17,14
Ivan Ljubicic,2002,18,22
Ivan Ljubicic,2003,24,19
Ivan Ljubicic,2004,20,14
Ivan Ljubicic,2005,33,16
Ivan Ljubicic,2006,40,14
Ivan Ljubicic,2007,38,18
Ivan Ljubicic,2008,12,14
Ivan Ljubicic,2009,16,14
Ivan Ljubicic,2010,17,15
Ivan Ljubicic,2011,17,12
Ivan Ljubicic,2012,3,6
Ivan Navarro,2005,3,1
Ivan Navarro,2006,2,7
Ivan Navarro,2007,15,15
Ivan Navarro,2008,5,12
Ivan Navarro,2009,9,20
Ivan Navarro,2010,14,18
Ivan Navarro,2011,13,14
Ivan Navarro,2012,13,10
Ivo Heuberger,1998,1,3
Ivo Heuberger,1999,1,2
Ivo Heuberger,2000,1,4
Ivo Heuberger,2001,2,5
Ivo Heuberger,2002,4,12
Ivo Heuberger,2003,3,8
Ivo Heuberger,2004,7,12
Ivo Heuberger,2005,2,4
Ivo Karlovic,2001,1,1
Ivo Karlovic,2003,7,6
Ivo Karlovic,2004,8,14
Ivo Karlovic,2005,12,18
Ivo Karlovic,2006,16,16
Ivo Karlovic,2007,31,18
Ivo Karlovic,2008,26,17
Ivo Karlovic,2009,13,15
Ivo Karlovic,2010,14,7
Ivo Karlovic,2011,19,17
Ivo Karlovic,2012,15,18
Ivo Karlovic,2013,18,16
Ivo Karlovic,2014,27,21
Ivo Karlovic,2015,29,20
Ivo Karlovic,2016,29,18
Ivo Karlovic,2017,13,18
Ivo Karlovic,2018,17,19
Ivo Karlovic,2019,9,15
Ivo Klec,2006,1,2
Ivo Klec,2007,3,6
Ivo Klec,2008,2,9
Ivo Klec,2009,2,4
Ivo Klec,2010,2,6
Ivo Klec,2011,3,7
Ivo Klec,2012,3,4
Ivo Klec,2013,3,5
Ivo Minar,2004,1,1
Ivo Minar,2005,10,11
Ivo Minar,2006,1,6
Ivo Minar,2007,7,5
Ivo Minar,2008,19,15
Ivo Minar,2009,6,11
Ivo Minar,2010,1,2
Ivo Minar,2011,6,6
Ivo Minar,2012,9,7
Ivo Minar,2013,2,3
Izak Van der Merwe,2008,4,3
Izak Van der Merwe,2009,3,4
Izak Van der Merwe,2010,6,7
Izak Van der Merwe,2011,7,8
Izak Van der Merwe,2012,11,11
Jack Sock,2011,2,2
Jack Sock,2012,9,9
Jack Sock,2013,13,16
Jack Sock,2014,29,17
Jack Sock,2015,24,13
Jack Sock,2016,23,13
Jack Sock,2017,28,14
Jack Sock,2018,7,18
James Blake,1999,1,4
James Blake,2001,5,7
James Blake,2002,20,14
James Blake,2003,21,20
James Blake,2004,11,9
James Blake,2005,25,13
James Blake,2006,33,13
James Blake,2007,46,20
James Blake,2008,30,16
James Blake,2009,13,10
James Blake,2010,13,12
James Blake,2011,18,14
James Blake,2012,7,10
James Blake,2013,12,13
James Duckworth,2012,5,8
James Duckworth,2013,9,8
James Duckworth,2014,9,7
James Duckworth,2015,14,13
James Duckworth,2016,6,8
James Duckworth,2018,3,9
James McGee,2012,2,2
James McGee,2013,1,2
James McGee,2014,6,7
James McGee,2015,3,7
James McGee,2016,4,5
James McGee,2017,5,8
James Ward,2009,1,4
James Ward,2010,11,10
James Ward,2012,8,10
James Ward,2013,5,5
James Ward,2014,15,12
James Ward,2015,9,15
James Ward,2016,4,9
James Ward,2018,2,3
James Ward,2019,2,6
Jamie Baker,2007,7,6
Jamie Baker,2008,7,8
Jamie Baker,2010,4,7
Jamie Baker,2011,1,1
Jamie Baker,2012,1,3
Jamie Baker,2013,4,3
Jan Hajek,2006,1,3
Jan Hajek,2007,5,15
Jan Hajek,2008,3,1
Jan Hajek,2009,1,1
Jan Hajek,2010,15,18
Jan Hajek,2011,4,9
Jan Hajek,2012,8,11
Jan Hajek,2013,20,17
Jan Hernych,2004,3,8
Jan Hernych,2005,16,18
Jan Hernych,2006,13,15
Jan Hernych,2007,14,18
Jan Hernych,2008,13,7
Jan Hernych,2009,14,21
Jan Hernych,2010,6,7
Jan Hernych,2011,14,8
Jan Hernych,2012,16,13
Jan Hernych,2013,14,7
Jan Hernych,2014,6,6
Jan Hernych,2015,9,8
Jan Hernych,2016,2,4
Jan Kroslak,1998,3,5
Jan Kroslak,1999,11,22
Jan Kroslak,2000,5,10
Jan Mertl,2007,2,5
Jan Mertl,2008,3,5
Jan Mertl,2012,2,7
Jan Mertl,2013,6,6
Jan Mertl,2014,2,5
Jan Mertl,2015,5,6
Jan Mertl,2016,1,4
Jan Siemerink,1998,10,7
Jan Siemerink,1999,17,24
Jan Siemerink,2000,5,12
Jan Siemerink,2001,9,12
Jan Vacek,2001,1,4
Jan Vacek,2002,8,15
Jan Vacek,2003,5,12
Jan Vacek,2004,2,7
Jan Vacek,2005,1,1
Jan Vacek,2006,1,1
Jan Vacek,2007,5,2
Jan Vacek,2008,1,2
Jan-Lennard Struff,2010,2,4
Jan-Lennard Struff,2012,1,4
Jan-Lennard Struff,2013,17,15
Jan-Lennard Struff,2014,18,18
Jan-Lennard Struff,2015,10,20
Jan-Lennard Struff,2016,21,18
Jan-Lennard Struff,2017,25,23
Jan-Lennard Struff,2018,22,24
Jan-Lennard Struff,2019,31,23
Jan-Michael Gambill,1998,5,3
Jan-Michael Gambill,1999,22,23
Jan-Michael Gambill,2000,24,20
Jan-Michael Gambill,2001,21,17
Jan-Michael Gambill,2002,16,17
Jan-Michael Gambill,2003,16,20
Jan-Michael Gambill,2004,14,15
Jan-Michael Gambill,2005,3,9
Jan-Michael Gambill,2008,1,1
Jan-Michael Gambill,2010,1,1
Janko Tipsarevic,2003,1,2
Janko Tipsarevic,2004,2,7
Janko Tipsarevic,2005,6,11
Janko Tipsarevic,2006,6,9
Janko Tipsarevic,2007,19,20
Janko Tipsarevic,2008,16,16
Janko Tipsarevic,2009,22,18
Janko Tipsarevic,2010,19,18
Janko Tipsarevic,2011,39,19
Janko Tipsarevic,2012,49,19
Janko Tipsarevic,2013,12,17
Janko Tipsarevic,2015,4,9
Janko Tipsarevic,2016,1,4
Janko Tipsarevic,2017,6,12
Janko Tipsarevic,2019,5,9
Jared Donaldson,2013,3,2
Jared Donaldson,2015,9,10
Jared Donaldson,2016,20,15
Jared Donaldson,2017,22,23
Jared Donaldson,2018,12,16
Jared Donaldson,2019,1,3
Jarkko Nieminen,2002,21,17
Jarkko Nieminen,2003,31,23
Jarkko Nieminen,2004,17,16
Jarkko Nieminen,2005,28,17
Jarkko Nieminen,2006,31,19
Jarkko Nieminen,2007,31,24
Jarkko Nieminen,2008,13,18
Jarkko Nieminen,2009,10,11
Jarkko Nieminen,2010,27,24
Jarkko Nieminen,2011,22,24
Jarkko Nieminen,2012,28,25
Jarkko Nieminen,2013,25,19
Jarkko Nieminen,2014,18,21
Jarkko Nieminen,2015,14,18
Jason Stoltenberg,1998,16,6
Jason Stoltenberg,1999,16,17
Jason Stoltenberg,2000,21,14
Jason Stoltenberg,2001,4,5
Jaume Munar,2015,4,3
Jaume Munar,2018,21,18
Jaume Munar,2019,15,21
Javier Marti,2011,6,5
Javier Marti,2012,11,10
Javier Marti,2013,12,11
Jean-Rene Lisnard,1999,1,2
Jean-Rene Lisnard,2000,1,5
Jean-Rene Lisnard,2001,2,3
Jean-Rene Lisnard,2002,7,5
Jean-Rene Lisnard,2003,12,15
Jean-Rene Lisnard,2004,4,12
Jean-Rene Lisnard,2005,6,15
Jean-Rene Lisnard,2006,1,4
Jean-Rene Lisnard,2007,1,3
Jean-Rene Lisnard,2008,3,2
Jean-Rene Lisnard,2009,5,4
Jean-Rene Lisnard,2011,8,7
Jean-Rene Lisnard,2012,1,2
Jeff Morrison,2002,5,8
Jeff Morrison,2003,1,7
Jeff Morrison,2004,3,7
Jeff Morrison,2005,3,13
Jeff Morrison,2006,3,3
Jeff Tarango,1998,7,7
Jeff Tarango,1999,17,20
Jeff Tarango,2000,10,21
Jeff Tarango,2001,1,7
Jeff Tarango,2009,1,1
Jens Knippschild,1998,3,7
Jens Knippschild,1999,12,13
Jens Knippschild,2000,6,11
Jens Knippschild,2001,4,8
Jens Knippschild,2002,1,1
Jeremy Chardy,2006,2,2
Jeremy Chardy,2007,4,5
Jeremy Chardy,2008,7,6
Jeremy Chardy,2009,31,19
Jeremy Chardy,2010,25,25
Jeremy Chardy,2011,10,14
Jeremy Chardy,2012,19,18
Jeremy Chardy,2013,19,19
Jeremy Chardy,2014,25,20
Jeremy Chardy,2015,22,19
Jeremy Chardy,2016,14,18
Jeremy Chardy,2017,16,18
Jeremy Chardy,2018,26,19
Jeremy Chardy,2019,26,23
Jerome Golmard,1998,6,6
Jerome Golmard,1999,21,12
Jerome Golmard,2000,28,21
Jerome Golmard,2001,19,13
Jerome Golmard,2002,10,9
Jerome Golmard,2004,4,3
Jerzy Janowicz,2009,7,4
Jerzy Janowicz,2010,5,4
Jerzy Janowicz,2011,8,8
Jerzy Janowicz,2012,12,6
Jerzy Janowicz,2013,18,17
Jerzy Janowicz,2014,13,20
Jerzy Janowicz,2015,16,17
Jerzy Janowicz,2017,8,11
Jesse Huta Galung,2007,5,3
Jesse Huta Galung,2008,11,11
Jesse Huta Galung,2009,4,8
Jesse Huta Galung,2010,4,2
Jesse Huta Galung,2011,7,9
Jesse Huta Galung,2012,6,5
Jesse Huta Galung,2013,5,7
Jesse Huta Galung,2014,7,11
Jesse Huta Galung,2015,2,5
Jesse Levine,2007,7,3
Jesse Levine,2008,16,19
Jesse Levine,2009,14,9
Jesse Levine,2010,4,6
Jesse Levine,2011,4,5
Jesse Levine,2012,19,15
Jesse Levine,2013,13,15
Jesse Witten,2007,3,5
Jesse Witten,2008,4,7
Jesse Witten,2009,7,3
Jesse Witten,2010,8,6
Jesse Witten,2011,2,7
Jesse Witten,2013,1,2
Jim Courier,1998,5,4
Jim Courier,1999,22,17
Jim Courier,2000,3,3
Jimmy Wang,2004,1,3
Jimmy Wang,2005,2,6
Jimmy Wang,2006,4,11
Jimmy Wang,2007,7,5
Jimmy Wang,2011,7,4
Jimmy Wang,2012,12,10
Jimmy Wang,2013,8,10
Jimmy Wang,2014,13,7
Jimmy Wang,2015,5,4
Jiri Novak,1998,5,4
Jiri Novak,1999,24,22
Jiri Novak,2000,20,22
Jiri Novak,2001,14,8
Jiri Novak,2002,29,18
Jiri Novak,2003,30,23
Jiri Novak,2004,30,14
Jiri Novak,2005,17,17
Jiri Novak,2006,12,11
Jiri Vanek,2000,10,11
Jiri Vanek,2001,12,18
Jiri Vanek,2002,1,3
Jiri Vanek,2003,4,6
Jiri Vanek,2004,3,5
Jiri Vanek,2005,3,14
Jiri Vanek,2006,7,12
Jiri Vanek,2007,10,13
Jiri Vanek,2008,9,13
Jiri Vanek,2009,3,3
Jiri Vesely,2013,5,6
Jiri Vesely,2014,14,16
Jiri Vesely,2015,22,23
Jiri Vesely,2016,16,16
Jiri Vesely,2017,12,18
Jiri Vesely,2018,16,19
Jiri Vesely,2019,8,10
Jo-Wilfried Tsonga,2004,1,1
Jo-Wilfried Tsonga,2007,15,10
Jo-Wilfried Tsonga,2008,20,12
Jo-Wilfried Tsonga,2009,37,15
Jo-Wilfried Tsonga,2010,26,12
Jo-Wilfried Tsonga,2011,38,16
Jo-Wilfried Tsonga,2012,51,18
Jo-Wilfried Tsonga,2013,22,11
Jo-Wilfried Tsonga,2014,32,13
Jo-Wilfried Tsonga,2015,25,11
Jo-Wilfried Tsonga,2016,32,15
Jo-Wilfried Tsonga,2017,33,13
Jo-Wilfried Tsonga,2018,8,7
Jo-Wilfried Tsonga,2019,24,16
Joachim Johansson,2003,2,4
Joachim Johansson,2004,20,14
Joachim Johansson,2005,18,11
Joachim Johansson,2006,2,2
Joachim Johansson,2007,4,4
Joachim Johansson,2009,2,1
Joachim Johansson,2013,4,1
Joao Sousa,2008,4,1
Joao Sousa,2010,3,3
Joao Sousa,2011,2,5
Joao Sousa,2012,14,11
Joao Sousa,2013,23,19
Joao Sousa,2014,19,29
Joao Sousa,2015,29,25
Joao Sousa,2016,18,25
Joao Sousa,2017,25,25
Joao Sousa,2018,26,26
Joao Sousa,2019,23,23
Joao Souza,2008,2,4
Joao Souza,2009,2,5
Joao Souza,2010,9,9
Joao Souza,2011,14,10
Joao Souza,2012,8,15
Joao Souza,2013,12,9
Joao Souza,2014,6,7
Joao Souza,2015,8,19
Joao Souza,2016,5,6
Joao Souza,2017,3,7
Joao Souza,2018,2,7
John Isner,2007,3,4
John Isner,2008,12,17
John Isner,2009,24,13
John Isner,2010,27,16
John Isner,2011,33,17
John Isner,2012,37,15
John Isner,2013,30,15
John Isner,2014,31,17
John Isner,2015,38,17
John Isner,2016,24,15
John Isner,2017,30,18
John Isner,2018,29,17
John Isner,2019,22,13
John Millman,2009,1,1
John Millman,2010,6,6
John Millman,2011,2,4
John Millman,2012,8,4
John Millman,2013,4,3
John Millman,2015,10,10
John Millman,2016,17,19
John Millman,2017,3,5
John Millman,2018,18,16
John Millman,2019,16,24
John van Lottum,1998,3,3
John van Lottum,1999,16,20
John van Lottum,2000,2,10
John van Lottum,2002,4,3
John van Lottum,2003,8,10
John van Lottum,2004,3,11
John-Patrick Smith,2012,2,5
John-Patrick Smith,2013,3,5
John-Patrick Smith,2014,7,8
John-Patrick Smith,2015,15,12
John-Patrick Smith,2016,6,10
John-Patrick Smith,2017,13,8
John-Patrick Smith,2018,7,10
Jonas Bjorkman,1998,7,6
Jonas Bjorkman,1999,21,22
Jonas Bjorkman,2000,29,22
Jonas Bjorkman,2001,18,17
Jonas Bjorkman,2002,15,13
Jonas Bjorkman,2003,21,16
Jonas Bjorkman,2004,14,18
Jonas Bjorkman,2005,11,14
Jonas Bjorkman,2006,7,10
Jonas Bjorkman,2007,15,19
Jonas Bjorkman,2008,7,9
Jonathan Eysseric,2007,2,4
Jonathan Eysseric,2010,1,2
Jonathan Eysseric,2013,2,6
Jonathan Eysseric,2014,3,2
Jonathan Eysseric,2015,1,6
Jonathan Eysseric,2017,4,8
Jordan Thompson,2013,1,3
Jordan Thompson,2014,1,2
Jordan Thompson,2016,3,10
Jordan Thompson,2017,12,16
Jordan Thompson,2018,2,11
Jordan Thompson,2019,21,15
Jose Acasuso,2001,7,8
Jose Acasuso,2002,21,14
Jose Acasuso,2003,10,15
Jose Acasuso,2004,14,10
Jose Acasuso,2005,21,19
Jose Acasuso,2006,28,16
Jose Acasuso,2007,19,19
Jose Acasuso,2008,15,17
Jose Acasuso,2009,13,14
Jose Acasuso,2010,3,4
Jose Acasuso,2011,3,4
Joseph Sirianni,2003,1,1
Joseph Sirianni,2007,4,6
Joseph Sirianni,2008,7,12
Joseph Sirianni,2009,10,6
Joseph Sirianni,2010,5,4
Josselin Ouanna,2007,1,2
Josselin Ouanna,2008,8,7
Josselin Ouanna,2009,10,8
Josselin Ouanna,2010,5,9
Josselin Ouanna,2011,2,3
Josselin Ouanna,2012,13,9
Josselin Ouanna,2013,4,8
Jozef Kovalik,2013,1,2
Jozef Kovalik,2014,4,3
Jozef Kovalik,2015,4,6
Jozef Kovalik,2016,19,13
Jozef Kovalik,2017,16,13
Jozef Kovalik,2018,12,10
Jozef Kovalik,2019,1,11
Juan Antonio Marin,1998,4,6
Juan Antonio Marin,1999,17,19
Juan Antonio Marin,2000,8,19
Juan Antonio Marin,2001,6,6
Juan Antonio Marin,2002,3,6
Juan Antonio Marin,2003,1,3
Juan Antonio Marin,2005,3,5
Juan Antonio Marin,2006,3,8
Juan Antonio Marin,2007,2,6
Juan Balcells,1998,2,1
Juan Balcells,2000,11,6
Juan Balcells,2001,14,16
Juan Balcells,2002,7,11
Juan Carlos Ferrero,1999,8,7
Juan Carlos Ferrero,2000,37,22
Juan Carlos Ferrero,2001,25,9
Juan Carlos Ferrero,2002,33,17
Juan Carlos Ferrero,2003,54,10
Juan Carlos Ferrero,2004,15,10
Juan Carlos Ferrero,2005,28,17
Juan Carlos Ferrero,2006,24,16
Juan Carlos Ferrero,2007,29,21
Juan Carlos Ferrero,2008,18,13
Juan Carlos Ferrero,2009,26,15
Juan Carlos Ferrero,2010,32,13
Juan Carlos Ferrero,2011,8,8
Juan Carlos Ferrero,2012,3,10
Juan Ignacio Chela,2000,14,15
Juan Ignacio Chela,2001,11,11
Juan Ignacio Chela,2002,36,20
Juan Ignacio Chela,2003,23,19
Juan Ignacio Chela,2004,22,17
Juan Ignacio Chela,2005,21,17
Juan Ignacio Chela,2006,18,19
Juan Ignacio Chela,2007,38,21
Juan Ignacio Chela,2008,4,8
Juan Ignacio Chela,2009,8,11
Juan Ignacio Chela,2010,33,21
Juan Ignacio Chela,2011,26,20
Juan Ignacio Chela,2012,5,12
Juan Ignacio Londero,2014,3,4
Juan Ignacio Londero,2015,5,4
Juan Ignacio Londero,2016,2,2
Juan Ignacio Londero,2018,2,4
Juan Ignacio Londero,2019,23,20
Juan Martin del Potro,2006,8,11
Juan Martin del Potro,2007,25,21
Juan Martin del Potro,2008,38,11
Juan Martin del Potro,2009,47,12
Juan Martin del Potro,2010,3,2
Juan Martin del Potro,2011,35,13
Juan Martin del Potro,2012,47,13
Juan Martin del Potro,2013,37,10
Juan Martin del Potro,2014,7,3
Juan Martin del Potro,2015,2,2
Juan Martin del Potro,2016,22,9
Juan Martin del Potro,2017,32,14
Juan Martin del Potro,2018,47,12
Juan Martin del Potro,2019,8,5
Juan Monaco,2004,14,9
Juan Monaco,2005,14,20
Juan Monaco,2006,16,18
Juan Monaco,2007,36,16
Juan Monaco,2008,23,15
Juan Monaco,2009,23,16
Juan Monaco,2010,27,17
Juan Monaco,2011,23,22
Juan Monaco,2012,31,15
Juan Monaco,2013,22,20
Juan Monaco,2014,15,17
Juan Monaco,2015,20,16
Juan Monaco,2016,7,11
Juan Pablo Brzezicki,2007,8,4
Juan Pablo Brzezicki,2008,2,4
Juan Pablo Brzezicki,2009,5,4
Juan Pablo Brzezicki,2010,3,7
Juan Pablo Brzezicki,2011,7,4
Juan Pablo Brzezicki,2012,3,3
Julian Reister,2007,2,3
Julian Reister,2008,3,3
Julian Reister,2009,4,6
Julian Reister,2010,15,10
Julian Reister,2011,6,10
Julian Reister,2012,3,2
Julian Reister,2013,23,11
Julian Reister,2014,3,12
Julian Reister,2015,5,3
Julian Reister,2016,1,2
Julien Benneteau,2003,3,7
Julien Benneteau,2004,11,8
Julien Benneteau,2005,3,14
Julien Benneteau,2006,16,13
Julien Benneteau,2007,21,24
Julien Benneteau,2008,25,18
Julien Benneteau,2009,19,19
Julien Benneteau,2010,18,15
Julien Benneteau,2011,26,18
Julien Benneteau,2012,24,17
Julien Benneteau,2013,24,19
Julien Benneteau,2014,19,17
Julien Benneteau,2015,1,4
Julien Benneteau,2016,10,12
Julien Benneteau,2017,18,16
Julien Benneteau,2018,8,11
Julien Boutter,1999,1,5
Julien Boutter,2000,8,12
Julien Boutter,2001,15,15
Julien Boutter,2002,15,20
Julien Boutter,2003,8,3
Julien Boutter,2004,1,3
Julio Silva,2002,1,2
Julio Silva,2007,6,4
Julio Silva,2008,4,5
Julio Silva,2009,5,2
Julio Silva,2010,4,7
Julio Silva,2011,2,5
Julio Silva,2012,1,7
Jurgen Melzer,1999,1,1
Jurgen Melzer,2002,4,7
Jurgen Melzer,2003,10,15
Jurgen Melzer,2004,10,12
Jurgen Melzer,2005,21,17
Jurgen Melzer,2006,24,17
Jurgen Melzer,2007,20,19
Jurgen Melzer,2008,20,17
Jurgen Melzer,2009,23,18
Jurgen Melzer,2010,39,21
Jurgen Melzer,2011,19,17
Jurgen Melzer,2012,15,20
Jurgen Melzer,2013,22,18
Jurgen Melzer,2014,13,16
Jurgen Melzer,2015,19,17
Jurgen Melzer,2016,2,2
Jurgen Melzer,2017,4,4
Jurgen Melzer,2018,5,6
Jurgen Zopp,2009,1,1
Jurgen Zopp,2010,1,1
Jurgen Zopp,2011,7,6
Jurgen Zopp,2012,24,16
Jurgen Zopp,2013,1,7
Jurgen Zopp,2014,7,6
Jurgen Zopp,2015,10,9
Jurgen Zopp,2016,2,5
Jurgen Zopp,2017,2,2
Jurgen Zopp,2018,12,12
Justin Gimelstob,1998,2,1
Justin Gimelstob,1999,16,22
Justin Gimelstob,2000,12,12
Justin Gimelstob,2001,2,9
Justin Gimelstob,2002,3,4
Justin Gimelstob,2003,7,14
Justin Gimelstob,2004,1,4
Justin Gimelstob,2005,8,9
Justin Gimelstob,2006,12,14
Justin Gimelstob,2007,4,9
Karen Khachanov,2013,4,3
Karen Khachanov,2014,1,3
Karen Khachanov,2015,1,2
Karen Khachanov,2016,22,11
Karen Khachanov,2017,22,24
Karen Khachanov,2018,40,23
Karen Khachanov,2019,21,22
Karim Alami,1998,1,5
Karim Alami,1999,26,22
Karim Alami,2000,21,24
Karim Alami,2001,4,15
Karim Alami,2002,1,2
Karol Beck,2002,2,3
Karol Beck,2003,6,17
Karol Beck,2004,14,14
Karol Beck,2005,12,18
Karol Beck,2008,1,3
Karol Beck,2009,9,10
Karol Beck,2010,4,14
Karol Beck,2011,7,8
Karol Beck,2012,7,10
Karol Beck,2013,1,3
Karol Beck,2014,1,1
Karol Kucera,1998,12,8
Karol Kucera,1999,37,18
Karol Kucera,2000,18,15
Karol Kucera,2001,6,7
Karol Kucera,2002,16,12
Karol Kucera,2003,18,15
Karol Kucera,2004,8,12
Karol Kucera,2005,2,4
Kei Nishikori,2007,11,6
Kei Nishikori,2008,20,8
Kei Nishikori,2009,3,5
Kei Nishikori,2010,10,9
Kei Nishikori,2011,38,19
Kei Nishikori,2012,35,17
Kei Nishikori,2013,22,15
Kei Nishikori,2014,37,11
Kei Nishikori,2015,49,15
Kei Nishikori,2016,48,15
Kei Nishikori,2017,27,13
Kei Nishikori,2018,46,19
Kei Nishikori,2019,25,13
Kenneth Carlsen,1998,9,5
Kenneth Carlsen,1999,14,16
Kenneth Carlsen,2001,8,5
Kenneth Carlsen,2002,12,10
Kenneth Carlsen,2003,11,18
Kenneth Carlsen,2004,13,15
Kenneth Carlsen,2005,9,19
Kenneth Carlsen,2006,10,12
Kenneth Carlsen,2007,3,9
Kenny De Schepper,2011,3,5
Kenny De Schepper,2012,10,7
Kenny De Schepper,2013,13,17
Kenny De Schepper,2014,8,19
Kenny De Schepper,2015,24,17
Kenny De Schepper,2016,13,12
Kenny De Schepper,2017,10,9
Kenny De Schepper,2018,7,12
Kevin Anderson,2007,3,1
Kevin Anderson,2008,19,9
Kevin Anderson,2009,5,9
Kevin Anderson,2010,29,16
Kevin Anderson,2011,30,22
Kevin Anderson,2012,25,21
Kevin Anderson,2013,28,16
Kevin Anderson,2014,33,19
Kevin Anderson,2015,34,19
