player,tourney,date,elo,surface,year,month,day
Alexander Zverev,ATP Masters 1000 Madrid,2018.05.06,1681.094258168213,Clay,2018,5.0,6.0
Alexander Zverev,ATP Masters 1000 Rome,2018.05.13,1707.119311772235,Clay,2018,5.0,13.0
Alexander Zverev,Roland Garros,2018.05.27,1700.934314348535,Clay,2018,5.0,27.0
Alexander Zverev,Halle,2018.06.18,1669.8891556311248,Grass,2018,6.0,18.0
Alexander Zverev,Wimbledon,2018.07.02,1640.4662578634939,Grass,2018,7.0,2.0
Alexander Zverev,Washington,2018.07.30,1683.333722558936,Hard,2018,7.0,30.0
Alexander Zverev,ATP Masters 1000 Canada,2018.08.06,1663.2372753448826,Hard,2018,8.0,6.0
Alexander Zverev,ATP Masters 1000 Cincinnati,2018.08.12,1629.5793150704212,Hard,2018,8.0,12.0
Alexander Zverev,US Open,2018.08.27,1602.5617947949802,Hard,2018,8.0,27.0
Alexander Zverev,Beijing,2018.10.01,1578.6108010207404,Hard,2018,10.0,1.0
Alexander Zverev,ATP Masters 1000 Shanghai,2018.10.07,1610.230799854036,Hard,2018,10.0,7.0
Alexander Zverev,Basel,2018.10.22,1598.5366349218118,Hard,2018,10.0,22.0
Alexander Zverev,ATP Masters 1000 Paris,2018.10.29,1593.2300356218911,Hard,2018,10.0,29.0
Alexander Zverev,Nitto ATP Finals,2018.11.11,1604.9376727986441,Hard,2018,11.0,11.0
Alexander Zverev,Australian Open,2019.01.14,1661.4348167652238,Hard,2019,1.0,14.0
Alexander Zverev,Abierto Mexicano Telcel presentado por HSBC,2019.02.25,1654.8348738230945,Hard,2019,2.0,25.0
Alexander Zverev,BNP Paribas Open,2019.03.07,1629.0076369000305,Hard,2019,3.0,7.0
Alexander Zverev,Miami Open presented by Itau,2019.03.20,1593.7476887903047,Hard,2019,3.0,20.0
Alexander Zverev,Grand Prix Hassan II,2019.04.08,1562.307690181385,Clay,2019,4.0,8.0
Alexander Zverev,Rolex Monte-Carlo Masters,2019.04.14,1543.455437843565,Clay,2019,4.0,14.0
Alexander Zverev,Barcelona Open Banc Sabadell,2019.04.22,1508.796679119471,Clay,2019,4.0,22.0
Alexander Zverev,BMW Open by FWU,2019.04.29,1486.261585566183,Clay,2019,4.0,29.0
Alexander Zverev,Mutua Madrid Open,2019.05.05,1497.717367519021,Clay,2019,5.0,5.0
