player,wins,losses,matches
Stefano Galvani,34.0,46.0,80.0
Stefano Travaglia,38.0,27.0,65.0
Stefanos Tsitsipas,117.0,62.0,179.0
Stephane Bohli,31.0,44.0,75.0
Stephane Robert,88.0,102.0,190.0
Steve Darcis,122.0,110.0,232.0
Steve Johnson,161.0,144.0,305.0
Steven Diez,19.0,37.0,56.0
Takao Suzuki,23.0,31.0,54.0
Taro Daniel,93.0,91.0,184.0
Tatsuma Ito,87.0,100.0,187.0
Taylor Dent,140.0,102.0,242.0
Taylor Fritz,80.0,75.0,155.0
Tennys Sandgren,35.0,58.0,93.0
Teymuraz Gabashvili,173.0,204.0,377.0
Thanasi Kokkinakis,57.0,48.0,105.0
Thiago Alves,33.0,49.0,82.0
Thiago Monteiro,49.0,67.0,116.0
Thiemo de Bakker,103.0,99.0,202.0
Thierry Ascione,41.0,50.0,91.0
Thomas Enqvist,151.0,113.0,264.0
Thomas Fabbiano,88.0,104.0,192.0
Thomas Johansson,194.0,162.0,356.0
Thomaz Bellucci,191.0,187.0,378.0
Tim Henman,254.0,141.0,395.0
Tim Smyczek,155.0,131.0,286.0
Tobias Kamke,124.0,151.0,275.0
Todd Martin,103.0,65.0,168.0
Tomas Behrend,33.0,58.0,91.0
Tomas Berdych,486.0,251.0,737.0
Tomas Zib,41.0,78.0,119.0
Tommy Haas,374.0,227.0,601.0
Tommy Paul,28.0,25.0,53.0
Tommy Robredo,388.0,272.0,660.0
Uladzimir Ignatik,18.0,39.0,57.0
Vasek Pospisil,119.0,130.0,249.0
Victor Crivoi,40.0,46.0,86.0
Victor Estrella Burgos,52.0,82.0,134.0
Victor Hanescu,176.0,196.0,372.0
Viktor Troicki,251.0,223.0,474.0
Vincent Millot,82.0,77.0,159.0
Vincent Spadea,179.0,192.0,371.0
Vladimir Voltchkov,39.0,51.0,90.0
Wayne Arthurs,101.0,111.0,212.0
Wayne Black,19.0,34.0,53.0
Wayne Ferreira,118.0,94.0,212.0
Wayne Odesnik,79.0,81.0,160.0
Wesley Moodie,46.0,57.0,103.0
Woong-Sun Jun,26.0,29.0,55.0
Xavier Malisse,218.0,198.0,416.0
Yannick Hanfmann,24.0,27.0,51.0
Yannick Maden,32.0,27.0,59.0
Yannick Mertens,27.0,42.0,69.0
Yen-Hsun Lu,122.0,175.0,297.0
Yevgeny Kafelnikov,220.0,113.0,333.0
Yoshihito Nishioka,87.0,64.0,151.0
Younes El Aynaoui,153.0,111.0,264.0
Yuichi Sugita,107.0,115.0,222.0
Yuki Bhambri,38.0,44.0,82.0
Yuri Schukin,28.0,39.0,67.0
Ze Zhang,22.0,34.0,56.0
